"","sum_peak","rs0305","rw0305","rs0727","rw0727","q0104","ta0104"
"value1513",0,0,0,0,0,0,-10.4251811339075
"value1514",0,0,0,0,0,0,-12.1454952080446
"value1515",0,0,0,0,0,0,-13.5354296927447
"value1516",0,0,0,0,0,0,-14.5151293495776
"value1517",431.143106956016,0,0,5.72742675695542,5.72742675695542,0,-15.6272072541836
"value1518",1178.63790733683,0,0,41.5215847690245,41.5215847690245,0,-16.5823840054898
"value1519",1040.16727469284,5.08561299953726,5.03812291943695,97.0307614886067,97.0307614886067,0,-17.3501213866517
"value1520",1546.77418428137,21.8340609865378,21.4392328551193,151.730658150591,133.462743476632,0,-17.4935236393807
"value1521",1841.68432402206,37.3125312140704,36.4121723246032,281.418356622628,147.428128912816,0,-14.2330638235307
"value1522",981.297530842606,50.4364101013129,49.3066119167891,399.456410514551,153.940387912927,0,-7.82225494091598
"value1523",64.3534759107782,59.3782997626431,57.8931538964313,463.665060593061,149.582410448626,0,1.97311768097799
"value1524",-17.4935236393807,64.0566274079313,61.6581248214742,479.414739401838,141.65477818383,0,11.8323579835693
"value1525",26.4605358300674,63.0381266503068,61.2575884890268,463.415866740392,285.973731285117,0,20.0536340441215
"value1526",0,56.0494599360315,55.3974521176562,394.681287219336,481.924808355281,0,26.3107302329556
"value1527",0,44.5192468052715,44.6759264358629,292.149557534063,634.498162879754,0,29.8140093827186
"value1528",0,29.7428856652314,30.3863832517216,160.672223607658,669.387311283922,0,29.8766168807614
"value1529",0,13.6576001830658,14.1283620146745,75.9602455949748,482.808109131441,0,25.6431664868563
"value1530",0,1.27534624185471,1.27534624185471,48.2922617623981,122.368864660307,0,20.1540883563828
"value1531",0,0,0,11.3538488213179,16.9621683731242,0,15.3071153355966
"value1532",0,0,0,0,0,0,11.1139967182325
"value1533",0,0,0,0,0,0,7.2977247073432
"value1534",0,0,0,0,0,0,4.12918378296691
"value1535",0,0,0,0,0,0,1.40265711471517
"value1536",0,0,0,0,0,0,-1.00564859472591
